X,Y,FID,GISDBID,Mode,Route,Direction,Stop_Code,Stop,Lat,Lon,Sign_Up,Weekday_On,Weekday_Of,Saturday_O,Saturday_1,Sunday_Ons,Sunday_Off
-75.182662,39.906528,1,1732133S,Bus,17,Southbound,32133,Pattison Av & 20th St - FS,39.906528,-75.182662,Fall 2023,0,5,0,2,0,0
-75.17929,39.906074,2,1721347S,Bus,17,Southbound,21347,Pattison Av & 20th St - MBFS,39.906074,-75.17929,Fall 2023,0,0,0,1,0,2
-75.173042,39.905288,3,17363S,Bus,17,Southbound,363,Pattison Av & Broad St - FS,39.905288,-75.173042,Fall 2023,0,0,2,3,2,7
-75.140228,39.948715,4,17593S,Bus,17,Southbound,593,Penn's Landing - 1,39.948715,-75.140228,Fall 2023,55,0,40,0,32,0
-75.173049,39.949367,5,1714929S,Bus,17,Southbound,14929,W Rittenhouse Square & Locust St,39.949367,-75.173049,Fall 2023,73,51,55,31,30,28
-75.165985,40.082927,6,1825973E,Bus,18,Eastbound,25973,Cedarbrook Plaza - 4,40.082927,-75.165985,Fall 2023,173,0,158,0,110,0
-75.168403,40.083751,7,1825974E,Bus,18,Eastbound,25974,Cedarbrook Plaza Stop - 5,40.083751,-75.168403,Fall 2023,16,0,4,0,9,0
-75.170295,40.082927,8,1815421E,Bus,18,Eastbound,15421,Cedarbrook Plaza Stop - 6,40.082927,-75.170295,Fall 2023,212,0,167,0,110,1
-75.172714,40.082565,9,18368E,Bus,18,Eastbound,368,Cheltenham Av & Gowen Av,40.082565,-75.172714,Fall 2023,22,0,8,1,14,1
-75.165,40.045501,10,18371E,Bus,18,Eastbound,371,Chew Av & Chelten Av,40.045501,-75.165,Fall 2023,185,160,119,67,92,57
-75.161407,40.043296,11,1815587E,Bus,18,Eastbound,15587,Chew Av & Church Ln,40.043296,-75.161407,Fall 2023,82,52,74,36,46,26
-75.177017,40.052886,12,1815521E,Bus,18,Eastbound,15521,Chew Av & Cliveden St,40.052886,-75.177017,Fall 2023,47,17,16,11,13,8
-75.174781,40.051536,13,1815523E,Bus,18,Eastbound,15523,Chew Av & Duval St,40.051536,-75.174781,Fall 2023,37,13,17,7,14,2
-75.167892,40.047298,14,1815579E,Bus,18,Eastbound,15579,Chew Av & Haines St,40.047298,-75.167892,Fall 2023,25,12,10,3,8,6
-75.170989,40.049224,15,1815526E,Bus,18,Eastbound,15526,Chew Av & Herman St,40.049224,-75.170989,Fall 2023,53,9,22,6,16,8
-75.16912,40.048053,16,1815527E,Bus,18,Eastbound,15527,Chew Av & High St,40.048053,-75.16912,Fall 2023,16,4,12,5,9,3
-75.180328,40.054969,17,1815519E,Bus,18,Eastbound,15519,Chew Av & Hortter St,40.054969,-75.180328,Fall 2023,53,18,28,9,14,7
